comment,random,label,individual,75%,50%,25%,10%,5%
"Kong
Faris Shafi
Lyrics 
About 
Comments 
1

10

See upcoming rap shows
Get tickets for your favorite artists
Kong Lyrics
[Verse 1]
Aao suno mere aqwaal-e-zareen
It's the incredible janty sabhi, hain Faris Shafi
Malik ne mujhko takat jo di hai, sadiq ameen
Baki sare kameenay
Sat on a scene in the sand of the beach in Cyprus
Watch me tan with your bitch Zainab, I can pass you the dick
The plan is plan B your man is angry I might just adjust
A little adjustment, a lyrical upset
Mere dil me dard hai, seer may dard hai
Mu pe to sary mere jigry bante ha
How's zinger burger? khalen! ab nigal ly isko
Aur nikalen idhar se apni shakal na dikhayi
Khasma nu khayi, sadkan dy pai, charas alay pai
Faris on the mic, like Rockstar Rapstar
Rehpta na khaalai, actress-actra (etcetera) hein wi tu bhenchod rukte ni bank roll
Bhootni ke thokun, jo quat ha hai mеry andar
Chuhffnad a flow like a jaadugarsan
Lahore to London, habibi shukran, hut fati ah thesе hoes need to learn manners
Respect my flow, itna flow hai ki


 
 Bryant Barnes 'I’d Rather Pretend' Official Lyrics & Meaning | Genius Verified

[Refrain]
Ispaghol (ispaghol)
Can’t control if the shit I spit
Can’t control if the shit I spit
Yo, itna flow hai ki, Ispaghol (ispaghol)
Can’t control if the shit I spit
Yo, itna flow hai ki, Ispaghol (ispaghol)
Can’t control if the shit I spit
Can’t control if the shit I spit
'Cause I'm the mighty King Kong

[Chorus]
Mic pakraein I sing songs
Chai pilaen, it might take long
Chai pilaen, it might take long
Because
I‘m the mighty King Kong
Mic pakraein I sing songs
Chai pilaen, it might take long
Psychotherapy is on

[Verse 2]
Take a look at me now
Motherfuckers I’m top on the game
And it’s a lot of the same shit, take a look at the crowd
Mein ne khaana hai pulao, mujhe khana khilao
Thoda palak paneer, aao aapko banana khilau
Aajao beta sabke banana hilao
Aao may apko gaanay banana sikhaun
Puray Pakistan me main naaray lagaun
Apne bare may bataun tumhe, main hu psycho
Mujhko mic do, puray five thousand rupees ki Vicodon or Valium khai toh
Meethe ka mood hua cake ki slice do
Seedhy mu gal ni ho rahi bhai jaan
Sharab peekay hawai jahaz mat udayi jao
Meri he ghalti ha, masti my fault trust me I know, jahaz is all I see

[Chorus]
I‘m the mighty King Kong
Mic pakraein I sing songs
Chai pilaen, it might take long
Oh, psychotherapy is on
Ah, see your jealousy gone wrong
Mein yahan pe mehfooz
Main yahan pe mahzooz, dude
Main yahan pe mehdood
Because I‘m the mighty King Kong
Mic pakraein I sing songs
Chai pilaen, it might take long
Chai pilaen, it might take long
Because I‘m the mighty King Kong
Mic pakraein I sing songs
Chai pilaen, it might take long
Chai pilaen, it might take long

[Verse 3]
But I’m back once again
With the ill behavior, single ladies I’m here to save ya
Sexy ladies, I’m here to shave your legs
Sexy ladies, meri red Mercedes ka mein tax nahi deta
Text me later I don’t text you back 'cuz I don’t text at all
I make music to inspire fucking lecture halls, I got students
Asking me questions all the time
Faris bhai how do you write these rhymes, Sahir Ludhianvi aur Vital Signs
Main murshad aapka payen
Zahir hai firing hai taday payen

[Outro]
Aao suno mere aqwaal-e-zareen
It's the incredible janty sabhi hain Faris Shafi
Malik ne mujhko takat jo di hai, saadiq ameen
Baki sare kameenay
Sat on a scene in the sand of the beach in Cyprus
[?]
Jo mujhy sunein mery jigri banday
[?]
(Ispaghol, can’t control if the shit I spit, can’t control if the shit I spit)
(Ispaghol, can’t control if the shit I spit)
(Ispaghol, can’t control if the shit I-)",Artist,useless,useless,useless,useless,useless,useless,Music
Favorite instrumental anthem !,useless,Music,Music,Music,Music,Music,Music,Music
Adnan Bhai,useless,useless,Artist,Artist,Artist,Artist,useless,useless
To listen this song back to life a pleasure era,Music,Music,useless,Music,Music,Music,Music,Music
"Love you pakistan ton🇵🇰🇵🇰
Naice
#fanijuttdaskewala",useless,useless,useless,useless,useless,useless,Artist,Artist
Kya lekha hai pajii ney  rongte khde ️️,useless,Artist,Artist,Artist,useless,Artist,Artist,Artist
Bilal bhai bhagwan aapko bahot lambi Umar de️,Artist,Artist,Artist,Artist,Artist,Artist,Artist,useless
Thhu hai maine tujhe pyaar kia!,Music,useless,useless,useless,Artist,Artist,Artist,Artist
any buddy listnes 2020 April,useless,useless,useless,useless,useless,useless,useless,useless
What a new voice waooo best,useless,Artist,Artist,Artist,Artist,Music,Music,Music
"Feb 16,2023 
11:23 pm
San jose ca",useless,useless,useless,useless,useless,useless,useless,useless
7 comments only ?,useless,useless,useless,useless,useless,useless,useless,useless
"Beautiful work, Arooj. You transcend the beautiful.",Artist,Artist,Artist,Artist,Artist,Artist,useless,Music
Luv frm india dnt cum india again if anybody calls also b a Legend even yu have a self respect,useless,useless,useless,useless,useless,useless,useless,useless
Legend!,useless,Artist,Artist,Artist,Artist,useless,useless,useless
Xt,Music,useless,useless,useless,useless,useless,useless,useless
"فاصلوں کو تکلف ہے ہم سے اگر
ہم بھی بے بس نہیں ، بے سہارا نہیں
Faslon Ko Takalluf Hai Humse Agar
Hum Bhi Bebas Nahi Be Sahara Nahi

خود اُنھی کو پُکاریں گے ہم دُور سے
راستے میں اگر پاؤں تھک جائیں گے
Khud Unhi Ko Pukareiñge Hum Door Se
Raste Meiñ Agar Paaoñ Thak Jayeiñge

 

ہم مدینے میں تنہا نکل جائیں گے
اور گلیوں میں قصدا بھٹک جائیں گے
Hum Madine Mein Tanha Nikal Jayeiñge
Aur Galiyoñ Mein Qasdan Bhatak Jayeiñge

ہم وہاں جا کے واپس نہیں آئیں گے
ڈھونڈتے ڈھونڈتے لوگ تھک جائیں گے
Hum Wahañ Jaake Wapis Nahi Aayeñge
Dhooñdte Dhooñdte Log Thak Jayeiñge

 

جیسے ہی سبز گنبد نظر آئے گا
بندگی کا قرینہ بدل جائے گا
Jaise Hi Sabz Gumbad Nazar Aayega
Bandagi Ka Qareenah Badal Jayega

سر جُھکانے کی فُرصت ملے گی کِسے
خُود ہی پلکوں سے سجدے ٹپک جائیں گے
Sar Jhukane Ki Fursat Milegi Kise
Khood Hi Palkoñ Se Sajde Tapak Jayeiñge

 

نامِ آقا جہاں بھی لیا جائے گا
ذکر اُن کا جہاں بھی کیا جائے گا
Naam Un Ka Jahan Bhi Liya Jayega
Zikr Un Ka Jahañ Bhi Kiya Jayega

نُور ہی نُور سینوں میں بھر جائے گا
ساری محفل میں جلوے لپک جائیں گے
Noor Hi Noor Seenoñ Mein Bhar Jayega
Sari Mahfil Mein Jalwe Lapak Jayeiñge

 

اے مدینے کے زائر خُدا کے لیے
داستانِ سفر مُجھ کو یوں مت سُنا
Ai Madine Ke Zaair Khuda Ke Liye
Dastan e Safar Mujh Ko Yuñ Mat Suna

بات بڑھ جائے گی ، دل تڑپ جائے گا
میرے محتاط آنسُو چھلک جائیں گے
Baat Badh Jayegi Dil Tadap Jayega
Mere Mohtaat Aañsu Jhalak Jayeiñge

 

اُن کی چشمِ کرم کو ہے اس کی خبر
کس مُسافر کو ہے کتنا شوقِ سفر
Unki Chashm-e Karam Ko Hai Is Ki Khabar
Kis Musafir Ko Hai Kitna Shauq-e Safar

ہم کو اقبال جب بھی اجازت ملی
ہم بھی آقا کے دربار تک جائیں گے
Hum Ko Iqbal Jab Bhi Ijaazat Mili
Hum Bhi Aaqa Ke Darbar Tak Jayeiñge

 

فاصلوں کو تکلف ہے ہم سے اگر
ہم بھی بے بس نہیں ، بے سہارا نہیں
Faslon Ko Takalluf Hai Humse Agar
Hum Bhi Bebas Nahi Be Sahara Nahi

خود اُنھی کو پُکاریں گے ہم دُور سے
راستے میں اگر پاؤں تھک جائیں گے
Khud Unhi Ko Pukareiñge Hum Door Se
Raste Meiñ Agar Paaoñ Thak Jayeiñge",useless,useless,useless,useless,useless,Music,Artist,useless
I love this naat,Music,Music,Music,Music,useless,useless,useless,useless
soft? perfection hitting the boundary.,Artist,Music,Music,Music,Music,Music,useless,useless
Kon is gane ko abhi bhi sunta hai,useless,useless,useless,Artist,useless,useless,Artist,Artist
Raza koi tod ni,Artist,useless,useless,useless,useless,useless,useless,Artist
"OMGGG! 4 months ago, I found The Original WADA NA TOD by Lata ji via the movie “Salaam bombay” where a kid was singing this song in a scene which was very catchy, since then the Original song has been in my playlist and now you released your version of the song. I’m so happy about this, can’t express my excitement!!! This is surely going to be my favorite song.",Artist,Music,useless,Music,useless,Music,Music,Music
Wow,useless,Music,useless,useless,useless,useless,useless,useless
"Rakkhi nishani chupayi teri, pucho na mujhse kahani meri ...best",useless,Music,Music,Music,Music,Music,Artist,useless
Finally the OG yunus is back,Music,Artist,Artist,Artist,Artist,Artist,useless,Artist
Poochho na mujhse kahani meri,useless,useless,useless,useless,Artist,Music,Artist,Artist
Asim Azhar,useless,useless,Artist,Artist,Artist,Artist,useless,Music
Bohemia ko b lo.rap k liye,Artist,useless,Artist,Artist,Artist,Artist,Artist,Artist
"Guys, I'm gonna meet her today. Wish me luck",useless,useless,useless,useless,useless,useless,useless,useless
Shifa toxic hai,useless,useless,useless,useless,useless,useless,useless,Music
Wah wah,useless,Music,Artist,useless,useless,useless,useless,useless
Please release another version without Moor ! Wasn’t the track for her,useless,useless,Artist,Artist,Artist,Artist,Music,Music
Lanat hai Bilal,useless,useless,Artist,Artist,Artist,Artist,Artist,Artist
I am big fan  for u,useless,Artist,Artist,Artist,Artist,useless,useless,useless
Seen this movie 5 years back. Heroine ke liye dekha tha. Gaana achha hai. Story kuch nahi simple,Artist,Music,Music,Music,Music,useless,Artist,Artist
Here come the waterworks....brilliant score.,Artist,useless,Music,Music,Music,Music,Music,Music
PAAJI ALBUM 2020 ️,Artist,useless,useless,useless,useless,Artist,Music,useless
Great ... Love from Sialkot,Artist,Music,useless,useless,useless,useless,useless,useless
"IN THIS SONG , U CAN SEE HOW RAJA DO WORDS PLAY   Great lyrics REAL GOAT",useless,Artist,useless,useless,useless,useless,Music,Music
The depth of voice and emotion is so HEART TOUCHING. Beautifully sung by Aima Begh.,useless,Artist,Artist,Artist,Artist,Artist,useless,Music
LOVE YOU BOHEMIA FROM INDIA 🇮🇳 YOUR BIGGEST FAN HERE️,Music,Artist,Artist,Artist,useless,Artist,Artist,Artist
"Talha Goat  
Love respect from Pakistan 🇵🇰 Punjab 🇵🇰",Artist,Artist,Artist,useless,Artist,Artist,useless,Artist
What a stupid song,useless,Music,Music,Music,Music,useless,Music,Music
Listen from Bangladesh,Artist,useless,useless,useless,Music,Music,useless,useless
love this song very inspirational :),Artist,Music,Music,Music,Music,Music,Music,Music
"Ali sethi is true gem 
Love from india",Artist,Artist,Artist,Artist,useless,useless,useless,useless
This song is toooo short,useless,Music,useless,Music,Music,useless,Music,Music
"The best verse in my opinion. Jade naal se tu, har haal se tu. This killed me.  Too much depth in those words.",Artist,Music,Music,Music,Music,Music,Music,Music
No comments on this masterpiece  ?,useless,useless,useless,Music,Music,Music,useless,useless
"(Date:7.may.thu.2020 time:11:23am)
Listening .....",useless,useless,useless,useless,useless,useless,useless,useless
Uffffff  memorable song,Artist,Music,Music,Music,Music,useless,Music,Music
I like that song,useless,Music,Music,Music,Music,useless,Music,Music
"Chalo jldi nhi aram se 
Kaamyaabi ko nazar lagti Der nhi lagti
Hosla rakho apne aap pe
Yeh pyaar mil raha hai india ke rajasthan se",useless,useless,useless,useless,useless,useless,Artist,useless
"Real Talk! 

This isn't rap, it's poetry of his life",useless,Music,Artist,Music,Music,useless,Music,Music
JJ47,useless,useless,useless,useless,useless,useless,useless,useless
11 45 24th Apr 2024,Music,useless,useless,useless,useless,useless,useless,useless
Love you Adnan Dhool from Germany. . May Allahmia blesses with more,useless,Artist,Artist,Artist,Artist,Artist,Artist,useless
I will comment on 23rd,useless,useless,useless,useless,useless,useless,useless,useless
Magical Voice..,Music,Artist,Artist,Artist,Artist,Music,Music,useless
Masterpiece,Artist,Music,Music,Music,Music,Music,useless,useless
Hit song️ paaa jii ️ Love uuu Soo️ much Rab rakhaa (Cali Carter here)️️,useless,Music,Artist,Music,Artist,Music,Artist,Artist
I listen this song 100+ time,Music,useless,Music,Music,Music,Music,Music,Music
Koi lota do wo samay 2009 ka jab school Jane ke time pe a song sunte the TV pe,Artist,Music,useless,useless,useless,useless,Artist,Artist
Next level ️,useless,Music,Music,useless,useless,useless,useless,useless
3:12 so powerful .. so empowering to bring forward new talent...  🇵🇰,useless,Music,useless,useless,useless,useless,useless,useless
H ke baad I nahi sidha J🫡,useless,useless,useless,useless,useless,Artist,useless,Music
To tere liye kya kuchh kar ni sakta 0:47,useless,useless,useless,useless,useless,useless,Artist,Artist
Kk r koi tv,useless,useless,useless,useless,useless,useless,useless,Artist
Me,useless,useless,useless,useless,useless,useless,useless,useless
Fv  song,useless,Music,useless,useless,useless,useless,Music,Music
3 years ago  but still 2024 remembers me of her being mine,Music,useless,useless,Music,useless,Music,useless,useless
Beautiful,Music,Music,Music,Music,Music,useless,useless,useless
Aaj bhi yaad h,Artist,useless,useless,useless,useless,useless,useless,useless
Khalil's saabb lyrics plus Atif's vocalss awesome combination,useless,Artist,Artist,Artist,Artist,Music,Music,Artist
"Balochi bhi add h wah maza agya 
allah hairan khana thaiyan 
yo yo honey pajiii love you ho gya",useless,Artist,useless,useless,useless,useless,useless,Artist
Kaifi khalil fan from Bangladesh the 🇧🇩,Music,Artist,Artist,Artist,Artist,Artist,useless,useless
️      such a magical voice,Artist,Artist,Artist,Artist,Artist,Music,Music,Music
Sidhu  love from Pakistan,useless,Artist,Artist,Artist,Artist,Artist,useless,useless
OMG ASIM KA ENGLISH X URDU/PUNJABI REMIX KINDA VIBE🥹🥹🥹,Music,Artist,Music,Music,Music,Artist,Artist,Artist
I love this songle,useless,Music,useless,useless,Music,Music,Music,useless
Mashallah ap bahut peyara gate ho,useless,Artist,Artist,Artist,Music,useless,useless,Music
Use Google translator in case you need translation. OG Will remain OG. Don't try to fk with it,Artist,useless,useless,useless,useless,useless,useless,useless
I really like this song,useless,Music,Music,Music,Music,Music,Music,Music
jovhi hojaye restart karo,useless,useless,useless,useless,useless,useless,Artist,Artist
Ohh marvelous singing both off you,Music,Artist,Artist,Artist,Artist,Artist,Music,Music
set my soul on fire......amazing ...song,Music,Music,Music,Music,Music,Music,Music,Music
"Provided to YouTube by The Orchard Enterprises

Secrets · Talha Anjum · Umair · Talha Anjum Rasheed · Muhammad Umair Tahir

Open Letter

℗ 2024 Mass Appeal/Talha Anjum

Released on: 2024-02-18

Producer: Umair

Auto-generated by YouTube. 
Samajh jao na yar",Artist,useless,useless,useless,useless,useless,useless,Artist
Bohemia great Bai love from veins,useless,Artist,Artist,Artist,Artist,Artist,Artist,Artist
This song  will take you to the different galaxy,Artist,Music,Music,Music,Music,useless,Music,Music
What a song and what a voice,Artist,Music,Artist,Artist,Artist,Music,Music,Music
POETRY,Music,useless,useless,useless,Music,Music,useless,Music
"जैसे तुझे आते हैं, न आने के बहाने
ऐसे ही किसी रोज़ न जाने के लिये आ",useless,useless,useless,useless,useless,useless,useless,useless
"Asim bhai
Chorhain ye songs dafa krain duniya daari
Deen ki taraf ayien itni pyari Awaaz ha naat parhain yar️",useless,Artist,Artist,Artist,useless,Artist,Artist,Artist
"""I am ॐ ️ ॐ icon""",Artist,useless,useless,useless,useless,useless,useless,useless
Fav,useless,Music,useless,useless,useless,useless,useless,useless
L9ve you ️,Artist,useless,useless,Artist,useless,useless,useless,useless
My best friend ñandini madiha Miss you ️ Love you ️ the same day and Love you ️ And love to have a beautiful  madiha Miss you,useless,useless,useless,useless,useless,Artist,Artist,useless
This song is verv beautiful .I fell very 2:54,Music,Music,Music,useless,Music,Music,Music,Music
you are a good singing star,Music,Artist,Artist,Artist,Artist,Artist,Music,Music
Nice song,Artist,Music,Music,Music,Music,useless,Music,Music
nice song,Music,Music,Music,Music,Music,useless,Music,Music
1:55,Music,useless,useless,useless,useless,useless,useless,useless
I don't know how many times I have listened to this naat,Music,useless,Music,Music,Music,Music,Music,useless
Pubg is the best from all games,Artist,useless,useless,useless,useless,useless,useless,Music
Raje tera Sath abhi bi ni chora still listening ️ 5.3.2024,useless,useless,useless,useless,useless,useless,Artist,Artist
"Ye sunkr bhot saari yaadein aankhon ke saamne aakr theher gyi,bachpan me jab school prayer hoti thi then I used to wait for this,tb bs iski melody psnd thi, aaj jb iske mtlb ko samjha h tb aur khin zyada psnd h...it used yo be my fav part of school morning  prayers...& I'm really missing  those unforgettable days",useless,Music,Music,Music,Music,useless,useless,Music
BEMATLAB IS FIRE,useless,Music,Music,useless,useless,Artist,useless,useless
I Love You Talha,useless,Artist,Artist,Artist,Artist,Artist,useless,Artist
Thank you kavish,Artist,Artist,Artist,Artist,Artist,useless,useless,useless
"Assalamualaikum...
Thanks for this Ali (without music)",Artist,useless,Artist,useless,Artist,Artist,useless,useless
I thought first hook me aap ho,useless,useless,useless,useless,useless,useless,useless,useless
Wtf just 12 comments .,useless,useless,useless,useless,useless,useless,useless,useless
"Raati aya si khayal lang gae kinnay saal
Par hoi nae majaal kivain puchaan tera haal",useless,useless,useless,useless,useless,useless,Artist,Artist
It's my favorite naat and it's beautiful voice  really,useless,Music,Artist,Artist,Music,Music,Music,Music
We want Talhah Yunus album now,Artist,useless,Artist,Artist,Artist,Artist,useless,Artist
Reupload nhi hai bhai youtube music hai auto generated,Music,useless,useless,useless,Music,useless,Music,Artist
Goosebumps after thousand thoughts,useless,Music,Music,Music,Music,Music,useless,Music
2015 to 2023,Artist,useless,useless,useless,useless,useless,useless,useless
Beautiful voice,Music,Artist,Artist,Artist,Artist,Music,Music,Music
Beautifully sung,useless,Artist,Artist,Artist,Artist,Music,Music,Music
Super talented,useless,Artist,Artist,Artist,Artist,useless,useless,useless
Nostalgia खरंच,useless,useless,useless,useless,useless,useless,useless,Artist
Love from India🇮🇳,useless,useless,useless,useless,useless,useless,useless,useless
this song is very heart touching . So passionately sung .Really divine voice.expressing love to your voice from INDIA,Music,Music,Artist,Artist,Music,Music,Music,Music
Omggg!!  After 25 years!!!,useless,useless,useless,useless,useless,useless,useless,useless
Here in Aug 2023,useless,useless,useless,useless,useless,useless,useless,useless
Vibe hai yaar,useless,Music,Music,Music,Music,Artist,Artist,Artist
Instagram pe bohot viral hua hain yee song ....2024 mein vhi,Artist,Music,useless,useless,useless,useless,Music,useless
"Mein Bangladesh se hun...yea gana meri dil ki bohot karib ban gaiya bohoooooot khub surat or sukun milta hain yea gana sunk ,,dukh dardh sb bhula deti hy or sukun miti hain sunk",Music,Music,Music,Music,Music,Music,Music,Music
Nice  bro,Artist,Artist,useless,Music,useless,Music,useless,useless
Paaji love from punjab,useless,useless,Artist,Artist,useless,Artist,useless,useless
Very talented new age Pashto singer,Artist,Artist,Artist,Artist,Artist,Music,Music,useless
Abrar ji so sweet,useless,Artist,Artist,useless,Artist,useless,useless,useless
Fantastic lyrics and ofcourse the best voice beautifully expressed emotional song.,useless,Music,Music,Artist,Music,Music,Music,Music
Ye kabhi musically legend hua karta tha but ab yeh overrated ho chuka hai ghamand inka sar pe hai music se ziyada focus inka fashion pe rehta hai phir kese banega acha music,Music,useless,Artist,Artist,useless,useless,Music,useless
K.K and Ali Zafar has such an amazing voice,Artist,Artist,Artist,Artist,Artist,Music,Music,Music
Nicesong,useless,Music,Music,Music,Music,useless,Music,useless
This song has lot of memories with me,Artist,Music,useless,Music,Music,Music,Music,Music
Comeback karlo yr ️,useless,useless,Artist,Artist,useless,useless,useless,Artist
"CONTEXT: HE IS ONTO A LONG BREAK.THEREFORE, HE IS UPLOADING HIS OLD SONGS FOR US SO THAT WE DON'T MISS HIS CONSISTENCY.",Artist,useless,useless,Artist,Artist,Artist,Music,Artist
Tu aaya nhi kyu ️,Artist,useless,useless,useless,Artist,Artist,Artist,Artist
afsurda raha,useless,Music,useless,useless,useless,useless,useless,Music
"Those who love peace can check ARRahman's vande matram, this one is equally good.

Love from India.",useless,Artist,Music,Music,Music,Artist,useless,useless
THEY SLAYED BHAI,Artist,useless,Artist,Artist,useless,Artist,useless,useless
Whatttttt,useless,useless,useless,useless,useless,useless,useless,useless
"The finest music am listening , too good",Music,Music,Music,Music,Music,Artist,Music,Music
JJ47 is so underrated,useless,Artist,Artist,Artist,Artist,Artist,useless,useless
It is my one of the favorite song since 1 year,Artist,Music,Music,Music,Music,Music,Music,Music
Tumkahaormaikaha,useless,useless,useless,useless,useless,useless,useless,useless
"Taht is ,wht rap star called @bohemia",Music,Artist,useless,Artist,Artist,Artist,Artist,Artist
King bohima,Music,Artist,Artist,Artist,Artist,Artist,useless,Music
